Date,GBP_Spot,GBP_1W,GBP_1M,GBP_2M,GBP_LIBOR_1W,GBP_LIBOR_1M,GBP_LIBOR_2M,AUD_Spot,AUD_1M,AUD_2M,AUD_LIBOR_1M,AUD_LIBOR_2M,USD_Spot,USD_1W,USD_1M,USD_2M,USD_LIBOR_1W,USD_LIBOR_1M,USD_LIBOR_2M,JPY_LIBOR_1W,JPY_LIBOR_1M,JPY_LIBOR_2M
9/21/2007,233.345,233.1426,232.3592,231.2898,5.82625,6.26375,6.32375,100.089,99.5943,99.1018,6.7775,6.835,115.5,115.4165,115.0777,114.6594,5.0375,5.13125,5.17125,0.91875,0.85625,0.89625
9/24/2007,232.275,232.0369,231.2494,230.2134,5.95875,6.25,6.315,99.7,99.21,98.7144,6.775,6.81,114.87,114.7728,114.4507,114.034,5.0525,5.12875,5.17,0.90625,0.8525,0.8975
9/25/2007,231.705,231.4673,230.6265,229.6558,5.88125,6.2375,6.30125,100.223,99.6981,99.2304,6.765,6.82,114.78,114.6818,114.3328,113.9419,5.0725,5.12875,5.16875,0.92125,0.8525,0.9
9/26/2007,232.94,232.7183,231.8614,230.877,5.8675,6.205,6.27375,101.295,100.7605,100.269,6.745,6.815,115.56,115.4688,115.1096,114.7077,5.07125,5.12875,5.16813,0.95875,0.85125,0.9
9/27/2007,234.453,234.189,233.409,232.3477,6,6.1925,6.2625,101.753,101.2433,100.7408,6.7425,6.8375,115.63,115.5203,115.1998,114.7719,5.0625,5.1275,5.16875,0.78875,0.85,0.9025
9/28/2007,235.04,234.8085,234.0013,232.9836,6,6.18375,6.25125,101.923,101.3799,100.9163,6.745,6.8325,114.81,114.7129,114.3766,113.9644,5.06125,5.12375,5.16625,0.73875,0.805,0.895
10/1/2007,236.53,236.2981,235.4175,234.4967,5.89625,6.15875,6.225,103.505,102.9481,102.4903,6.7275,6.81,115.74,115.6427,115.2748,114.9007,5.05563,5.12063,5.16625,0.71125,0.79,0.87625
10/2/2007,236.32,236.0846,235.2385,234.2945,5.8925,6.14625,6.205,102.275,101.7409,101.2734,6.7225,6.815,115.75,115.6513,115.301,114.912,5.06125,5.12625,5.16938,0.68625,0.7825,0.87375
10/3/2007,237.24,237.0054,236.1857,235.2089,5.88875,6.1075,6.1825,103.087,102.5624,102.0685,6.7525,6.8275,116.75,116.6513,116.3094,115.9031,5.05625,5.125,5.16875,0.6675,0.7625,0.86438
10/4/2007,237.44,237.1989,236.3687,235.3471,5.86625,6.08625,6.16125,103.4,102.8708,102.3557,6.7575,6.8325,116.46,116.361,116.0193,115.5963,5.04625,5.125,5.1675,0.65375,0.75813,0.86
10/5/2007,238.898,238.6606,237.7134,236.8131,5.86375,6.0675,6.155,104.973,104.3767,103.9214,6.765,6.8325,116.97,116.8698,116.4832,116.1106,5.02625,5.12188,5.16563,0.63625,0.75125,0.85625
10/8/2007,239.045,238.799,237.8787,236.9582,5.87125,6.06063,6.15125,104.925,104.3383,103.8746,6.7575,6.845,117.42,117.3189,116.9331,116.5571,5.01625,5.12,5.16688,0.645,0.75263,0.855
10/9/2007,238.67,238.4229,237.5183,236.5817,5.88,6.0725,6.1575,105.49,104.9059,104.431,6.8125,6.8675,117.14,117.0395,116.6693,116.2795,4.9975,5.11625,5.16438,0.63,0.74625,0.855
10/10/2007,239.478,239.2337,238.3616,237.3863,5.87875,6.08125,6.175,105.295,104.7376,104.249,6.8075,6.8525,117.25,117.1497,116.7952,116.3986,4.98875,5.11,5.16125,0.63,0.745,0.8525
10/11/2007,238.26,238.0193,237.185,236.1092,5.87375,6.08875,6.18375,105.623,105.0843,104.543,6.7475,6.8475,117.28,117.1816,116.8429,116.4076,4.9775,5.09125,5.155,0.6325,0.73375,0.85188
10/12/2007,239.46,239.2169,238.385,237.3321,5.87875,6.08813,6.18375,106.388,105.8466,105.3169,6.72,6.8475,117.61,117.5109,117.1759,116.7543,4.9475,5.06,5.13375,0.63375,0.7225,0.84938
10/15/2007,239.83,239.5861,238.6779,237.7239,5.895,6.09063,6.19625,105.52,104.9503,104.4742,6.695,6.845,117.4,117.3013,116.9361,116.5598,4.92625,5.045,5.11688,0.63125,0.7175,0.84188
10/16/2007,237.67,237.428,236.5592,235.5814,5.88375,6.08688,6.19125,103.855,103.3086,102.8211,6.6925,6.825,116.92,116.8213,116.4694,116.0817,4.91875,5.035,5.1075,0.62625,0.71313,0.83
10/17/2007,238.045,237.8041,236.9709,235.9597,5.8675,6.08563,6.18563,103.995,103.464,102.9556,6.685,6.81,116.68,116.5821,116.245,115.8423,4.89875,5.02125,5.0975,0.61875,0.705,0.82125
10/18/2007,236.405,236.1724,235.2021,234.1681,5.85625,6.07625,6.18,103.645,103.0551,102.5393,6.67,6.8175,115.63,115.5321,115.1675,114.765,4.88625,4.9975,5.08,0.6125,0.6925,0.81125
10/19/2007,234.965,234.7238,233.7949,232.7551,5.8525,6.06375,6.17438,101.945,101.3783,100.8639,6.645,6.7875,114.52,114.4229,114.0612,113.6745,4.86125,4.95,5.04625,0.6025,0.68125,0.805
10/22/2007,232.875,232.6363,231.7497,230.7155,5.85,6.05813,6.16625,101.522,100.9616,100.4471,6.67,6.7925,114.55,114.4538,114.1073,113.7175,4.8425,4.8925,4.99125,0.605,0.6725,0.78875
10/23/2007,235.415,235.1761,234.3082,233.2678,5.8475,6.0475,6.16125,103.135,102.583,102.0652,6.665,6.7925,114.78,114.6843,114.348,113.9615,4.84875,4.8725,4.965,0.5975,0.65625,0.77
10/24/2007,234.225,233.9882,233.1592,232.1054,5.83625,6.04125,6.15375,103.175,102.6347,102.1022,6.7425,6.8975,114.27,114.1756,113.8582,113.4743,4.84625,4.85625,4.9475,0.59125,0.65,0.76
10/25/2007,234.208,233.9674,233.1426,232.1583,5.83375,6.0375,6.1425,103.775,103.2315,102.7286,6.7725,6.88,114.18,114.086,113.7717,113.4027,4.80875,4.81875,4.8875,0.58875,0.64,0.75063
10/26/2007,234.355,234.1151,233.2928,232.3511,5.8325,6.03375,6.1375,104.88,104.3357,103.8455,6.75,6.8525,114.19,114.0969,113.7848,113.4325,4.8,4.7925,4.8475,0.59125,0.63125,0.73875
10/29/2007,236.47,236.2304,235.4409,234.4767,5.835,6.03188,6.13188,105.645,105.1133,104.613,6.72,6.825,114.66,114.568,114.2685,113.9165,4.77875,4.7525,4.8025,0.60125,0.62875,0.7375
10/30/2007,237.035,236.7922,235.9326,234.8469,5.8475,6.02875,6.1325,105.34,104.7736,104.2111,6.7175,6.91,114.64,114.5469,114.2207,113.8125,4.75125,4.71625,4.91125,0.605,0.6325,0.855
10/31/2007,240.075,239.8307,238.9953,237.8877,5.8575,6.02875,6.13438,107.833,107.2705,106.6901,6.7275,6.9225,115.44,115.347,115.0305,114.6173,4.71375,4.70625,4.89625,0.5975,0.62313,0.8525
11/1/2007,238.515,238.2411,237.4767,236.3283,5.84,5.99625,6.2675,104.608,104.072,103.4884,6.75,6.9825,114.67,114.5654,114.2768,113.8526,4.65,4.6875,4.88375,0.5975,0.62375,0.8525
11/2/2007,239.945,239.7026,238.9086,237.7876,5.82375,5.9675,6.26375,106.03,105.4957,104.9274,6.7425,6.975,114.86,114.7684,114.4695,114.0595,4.65,4.6775,4.86938,0.595,0.62375,0.85
11/5/2007,238.32,238.0809,237.3003,236.2372,5.825,5.94813,6.26625,105.46,104.9214,104.3859,6.6975,6.945,114.55,114.459,114.1599,113.7613,4.64625,4.6675,4.875,0.59125,0.6225,0.84625
11/6/2007,239.493,239.2525,238.398,237.3942,5.82,5.93,6.26063,106.555,105.9835,105.4583,6.71,6.95,114.73,114.639,114.3128,113.9355,4.64563,4.66688,4.89875,0.5925,0.62125,0.85
11/7/2007,236.905,236.6668,235.8525,234.8139,5.81375,5.92,6.25875,104.52,103.9747,103.4348,6.7325,6.9475,112.63,112.5414,112.235,111.85,4.63375,4.665,4.89938,0.5925,0.62125,0.8475
11/8/2007,237.315,237.0743,236.2855,235.1481,5.81875,5.91563,6.25,104.35,103.8215,103.2384,6.77,6.975,112.6,112.5115,112.2189,111.799,4.6275,4.66,4.88938,0.5925,0.62063,0.84875
11/9/2007,231.37,231.1334,230.3677,229.2578,5.8275,5.92125,6.25875,100.912,100.3986,99.8388,6.755,6.9825,110.69,110.6025,110.3166,109.909,4.62625,4.65938,4.88125,0.59125,0.62125,0.85
11/12/2007,224.615,224.3848,223.6382,222.5924,5.835,5.92375,6.265,95.83,95.3456,94.835,6.7325,6.9825,109.41,109.3224,109.0421,108.6557,4.62375,4.65313,4.87438,0.59375,0.62,0.85188
