Date,GBP_Spot,GBP_1W,GBP_1M,GBP_2M,GBP_LIBOR_1W,GBP_LIBOR_1M,GBP_LIBOR_2M,AUD_Spot,AUD_1M,AUD_2M,AUD_LIBOR_1M,AUD_LIBOR_2M,USD_Spot,USD_1W,USD_1M,USD_2M,USD_LIBOR_1W,USD_LIBOR_1M,USD_LIBOR_2M,JPY_LIBOR_1W,JPY_LIBOR_1M,JPY_LIBOR_2M
9/21/2007,233.345,233.342976,233.335142,233.324448,5.82625,6.26375,6.32375,100.089,100.084053,100.079128,6.7775,6.835,115.5,115.499165,115.495777,115.491594,5.0375,5.13125,5.17125,0.91875,0.85625,0.89625
9/24/2007,232.275,232.272619,232.264744,232.254384,5.95875,6.25,6.315,99.7,99.6951,99.690144,6.775,6.81,114.87,114.869028,114.865807,114.86164,5.0525,5.12875,5.17,0.90625,0.8525,0.8975
9/25/2007,231.705,231.702623,231.694215,231.684508,5.88125,6.2375,6.30125,100.223,100.217751,100.213074,6.765,6.82,114.78,114.779018,114.775528,114.771619,5.0725,5.12875,5.16875,0.92125,0.8525,0.9
9/26/2007,232.94,232.937783,232.929214,232.91937,5.8675,6.205,6.27375,101.295,101.289655,101.28474,6.745,6.815,115.56,115.559088,115.555496,115.551477,5.07125,5.12875,5.16813,0.95875,0.85125,0.9
9/27/2007,234.453,234.45036,234.44256,234.431947,6,6.1925,6.2625,101.753,101.747903,101.742878,6.7425,6.8375,115.63,115.628903,115.625698,115.621419,5.0625,5.1275,5.16875,0.78875,0.85,0.9025
9/28/2007,235.04,235.037685,235.029613,235.019436,6,6.18375,6.25125,101.923,101.917569,101.912933,6.745,6.8325,114.81,114.809029,114.805666,114.801544,5.06125,5.12375,5.16625,0.73875,0.805,0.895
10/1/2007,236.53,236.527681,236.518875,236.509667,5.89625,6.15875,6.225,103.505,103.499431,103.494853,6.7275,6.81,115.74,115.739027,115.735348,115.731607,5.05563,5.12063,5.16625,0.71125,0.79,0.87625
10/2/2007,236.32,236.317646,236.309185,236.299745,5.8925,6.14625,6.205,102.275,102.269659,102.264984,6.7225,6.815,115.75,115.749013,115.74551,115.74162,5.06125,5.12625,5.16938,0.68625,0.7825,0.87375
10/3/2007,237.24,237.237654,237.229457,237.219689,5.88875,6.1075,6.1825,103.087,103.081754,103.076815,6.7525,6.8275,116.75,116.749013,116.745594,116.741531,5.05625,5.125,5.16875,0.6675,0.7625,0.86438
10/4/2007,237.44,237.437589,237.429287,237.419071,5.86625,6.08625,6.16125,103.4,103.394708,103.389557,6.7575,6.8325,116.46,116.45901,116.455593,116.451363,5.04625,5.125,5.1675,0.65375,0.75813,0.86
10/5/2007,238.898,238.895626,238.886154,238.877151,5.86375,6.0675,6.155,104.973,104.967037,104.962484,6.765,6.8325,116.97,116.968998,116.965132,116.961406,5.02625,5.12188,5.16563,0.63625,0.75125,0.85625
10/8/2007,239.045,239.04254,239.033337,239.024132,5.87125,6.06063,6.15125,104.925,104.919133,104.914496,6.7575,6.845,117.42,117.418989,117.415131,117.411371,5.01625,5.12,5.16688,0.645,0.75263,0.855
10/9/2007,238.67,238.667529,238.658483,238.649117,5.88,6.0725,6.1575,105.49,105.484159,105.47941,6.8125,6.8675,117.14,117.138995,117.135293,117.131395,4.9975,5.11625,5.16438,0.63,0.74625,0.855
