Date,1MUSD,2MUSD,3MUSD,6MUSD,12MUSD,1MJPY,2MJPY,3MJPY,6MJPY,12MJPY
01.11.2019,1.77425,1.83888,1.8905,1.90238,1.92525,-0.11267,-0.1035,-0.11583,-0.04217,0.038
31.10.2019,1.78488,1.84,1.90225,1.91625,1.95538,-0.11167,-0.10317,-0.115,-0.0475,0.04383
30.10.2019,1.78138,1.859,1.90913,1.9195,1.97988,-0.113,-0.0975,-0.11683,-0.042,0.05
29.10.2019,1.78588,1.86313,1.92713,1.92988,1.98875,-0.11533,-0.07717,-0.11667,-0.03533,0.05533
28.10.2019,1.79963,1.88263,1.9355,1.93988,1.99525,-0.116,-0.09017,-0.11367,-0.03983,0.04783
25.10.2019,1.80488,1.881,1.92813,1.93325,1.95575,-0.105,-0.09067,-0.11,-0.0475,0.03883
24.10.2019,1.80425,1.88575,1.93563,1.932,1.96088,-0.1045,-0.093,-0.1155,-0.04983,0.03
23.10.2019,1.82275,1.89763,1.93963,1.914,1.94275,-0.10967,-0.08967,-0.11233,-0.05633,0.0285
22.10.2019,1.82175,1.88463,1.936,1.9325,1.96725,-0.1185,-0.09817,-0.11283,-0.05867,0.03283
21.10.2019,1.823,1.8975,1.934,1.93425,1.96063,-0.11617,-0.09567,-0.1135,-0.059,0.03167
18.10.2019,1.85025,1.9275,1.95325,1.95175,1.98725,-0.117,-0.10217,-0.11783,-0.067,0.0335
17.10.2019,1.84638,1.93488,1.96588,1.9745,1.99313,-0.10783,-0.106,-0.10967,-0.07133,0.02817
16.10.2019,1.8775,1.96463,2.00325,1.98588,1.99225,-0.10467,-0.099,-0.10883,-0.05967,0.03217
15.10.2019,1.88913,1.96738,2.00213,1.97725,1.97413,-0.10083,-0.098,-0.103,-0.05017,0.03083
14.10.2019,1.89075,1.9655,2.00088,1.978,1.97313,-0.105,-0.1085,-0.11167,-0.0585,0.0215
