Date,Signal,Foreign_IR,Domestic_IR,FX_Rate,Equity,Asset Pos,Unreal_Return,Real_Return
2007/9/21,0.000793637,0.050375,0.0091875,115.5,10000,20000,0.0915625,0
2007/9/24,0.000797752,0.050525,0.0090625,114.87,10000,20000,0.080527227,0
2007/9/25,0.00079863,0.050725,0.0092125,114.78,10000,20000,0.079137552,0
2007/9/26,0.000791759,0.0507125,0.0095875,115.56,10000,20000,0.092929149,0
2007/9/27,0.000821518,0.050625,0.0078875,115.63,10000,20000,0.095727543,0
2007/9/28,0.000832027,0.0506125,0.0073875,114.81,10812.84727,20000,0,0.081284727
2007/10/1,0.000836333,0.0505563,0.0071125,115.74,10812.84727,21625.69455,0.0940001,0.081284727
2007/10/2,0.000842166,0.0506125,0.0068625,115.75,10812.84727,21625.69455,0.094544047,0.081284727
2007/10/3,0.000844913,0.0505625,0.006675,116.75,10812.84727,21625.69455,0.112785375,0.081284727
2007/10/4,0.000845595,0.0504625,0.0065375,116.46,10812.84727,21625.69455,0.107457018,0.081284727
2007/10/5,0.000845044,0.0502625,0.0063625,116.97,10812.84727,21625.69455,0.116485342,0.081284727
2007/10/8,0.000841354,0.0501625,0.00645,117.42,10812.84727,21625.69455,0.124361833,0.081284727
2007/10/9,0.000840656,0.049975,0.0063,117.14,12100.12926,21625.69455,0,0.210012926
2007/10/10,0.000838979,0.0498875,0.0063,117.25,12100.12926,24200.25852,0.093475,0.210012926
2007/10/11,0.00083647,0.049775,0.006325,117.28,12100.12926,24200.25852,0.093762198,0.210012926
2007/10/12,0.000830357,0.049475,0.0063375,117.61,12100.12926,24200.25852,0.099057037,0.210012926
2007/10/15,0.000826731,0.0492625,0.0063125,117.4,12100.12926,24200.25852,0.09489718,0.210012926
2007/10/16,0.00082621,0.0491875,0.0062625,116.92,12100.12926,24200.25852,0.086206626,0.210012926
2007/10/17,0.000823831,0.0489875,0.0061875,116.68,13087.35931,24200.25852,0,0.308735931
2007/10/18,0.000822539,0.0488625,0.006125,115.63,13087.35931,26174.71863,0.0916,0.308735931
2007/10/19,0.00081961,0.0486125,0.006025,114.52,13087.35931,26174.71863,0.071067511,0.308735931
2007/10/22,0.000815559,0.048425,0.00605,114.55,13087.35931,26174.71863,0.071215134,0.308735931
2007/10/23,0.000818293,0.0484875,0.005975,114.78,13087.35931,26174.71863,0.075585067,0.308735931
2007/10/24,0.000819099,0.0484625,0.0059125,114.27,13087.35931,26174.71863,0.066349195,0.308735931
2007/10/25,0.000812322,0.0480875,0.0058875,114.18,13924.96954,26174.71863,0,0.392496954
2007/10/26,0.000810214,0.048,0.0059125,114.19,13924.96954,27849.93907,0.0900875,0.392496954
2007/10/29,0.000804267,0.0477875,0.0060125,114.66,13924.96954,27849.93907,0.098187776,0.392496954
2007/10/30,0.000798093,0.0475125,0.00605,114.64,13924.96954,27849.93907,0.097231075,0.392496954
2007/10/31,0.000792325,0.0471375,0.005975,115.44,13924.96954,27849.93907,0.111225333,0.392496954
