Date,Signal,FX_name,Period,Foreign_IR,Domestic_IR,FX_Rate,Equity,Asset Pos,Unreal_Return,Real_Return,Drawdown
2009-01-02,-0.0001766371854056148,-,-,0,0,1,10000,0,0,0,0
2009-01-05,-6.61439664191299e-05,-,-,0,0,1,10000,0,0,0,0
2009-01-06,-9.016675031159327e-05,-,-,0,0,1,10000,0,0,0,0
2009-01-07,-5.377059985312016e-05,-,-,0,0,1,10000,0,0,0,0
2009-01-08,-3.88179521615406e-05,-,-,0,0,1,10000,0,0,0,0
2009-01-09,-7.713740459092122e-05,-,-,0,0,1,10000,0,0,0,0
2009-01-12,-7.313810259912401e-05,-,-,0,0,1,10000,0,0,0,0
2009-01-13,-0.00013030897471166814,-,-,0,0,1,10000,0,0,0,0
2009-01-14,-9.73263553561976e-05,-,-,0,0,1,10000,0,0,0,0
2009-01-15,-9.758288365291357e-05,-,-,0,0,1,10000,0,0,0,0
2009-01-16,-6.65484777767622e-05,-,-,0,0,1,10000,0,0,0,0
2009-01-19,-6.758299082199049e-05,-,-,0,0,1,10000,0,0,0,0
2009-01-20,-4.889961208287552e-05,-,-,0,0,1,10000,0,0,0,0
2009-01-21,-0.00010324856711152464,-,-,0,0,1,10000,0,0,0,0
2009-01-22,-7.535601986963236e-05,-,-,0,0,1,10000,0,0,0,0
2009-01-23,-5.949922644765682e-05,-,-,0,0,1,10000,0,0,0,0
2009-01-26,-4.942481169711854e-05,-,-,0,0,1,10000,0,0,0,0
2009-01-27,-6.524583021172425e-05,-,-,0,0,1,10000,0,0,0,0
2009-01-28,-8.941152857022683e-05,-,-,0,0,1,10000,0,0,0,0
2009-01-29,-9.99256389230263e-05,-,-,0,0,1,10000,0,0,0,0
2009-01-30,-9.795201780449236e-05,-,-,0,0,1,10000,0,0,0,0
2009-02-02,-0.0001382932748357213,-,-,0,0,1,10000,0,0,0,0
2009-02-03,-0.00013763057430660197,-,-,0,0,1,10000,0,0,0,0
2009-02-04,-7.332393779446722e-05,-,-,0,0,1,10000,0,0,0,0
2009-02-05,-7.25228668839728e-05,-,-,0,0,1,10000,0,0,0,0
2009-02-06,-7.436302555630103e-05,-,-,0,0,1,10000,0,0,0,0
2009-02-09,-7.312274622506276e-05,-,-,0,0,1,10000,0,0,0,0
2009-02-10,-6.205003519421659e-05,-,-,0,0,1,10000,0,0,0,0
2009-02-11,-7.096775665271782e-05,-,-,0,0,1,10000,0,0,0,0
2009-02-12,-5.80198974293733e-05,-,-,0,0,1,10000,0,0,0,0
2009-02-13,-5.815380512952384e-05,-,-,0,0,1,10000,0,0,0,0
2009-02-16,-5.1751085969442556e-05,-,-,0,0,1,10000,0,0,0,0
2009-02-17,-5.267994143898225e-05,-,-,0,0,1,10000,0,0,0,0
2009-02-18,-6.490339121978383e-05,-,-,0,0,1,10000,0,0,0,0
2009-02-19,-3.688293996240155e-05,-,-,0,0,1,10000,0,0,0,0
2009-02-20,-3.9838674269265795e-05,-,-,0,0,1,10000,0,0,0,0
2009-02-23,-3.63701531287397e-05,-,-,0,0,1,10000,0,0,0,0
2009-02-24,-1.5977339268280488e-05,-,-,0,0,1,10000,0,0,0,0
2009-02-25,-1.912768605016879e-05,-,-,0,0,1,10000,0,0,0,0
2009-02-26,-3.963631878889373e-05,-,-,0,0,1,10000,0,0,0,0
2009-02-27,-5.5812894405815605e-05,-,-,0,0,1,10000,0,0,0,0
2009-03-02,-3.1332096358527295e-05,-,-,0,0,1,10000,0,0,0,0
2009-03-03,-3.600363200750856e-05,-,-,0,0,1,10000,0,0,0,0
2009-03-04,-3.613424462711734e-05,-,-,0,0,1,10000,0,0,0,0
2009-03-05,-4.2503658809533995e-05,-,-,0,0,1,10000,0,0,0,0
2009-03-06,-3.937228783601476e-05,-,-,0,0,1,10000,0,0,0,0
2009-03-09,-3.848231481451414e-05,-,-,0,0,1,10000,0,0,0,0
2009-03-10,-5.767485500218772e-05,-,-,0,0,1,10000,0,0,0,0
2009-03-11,-5.4072445429653726e-05,-,-,0,0,1,10000,0,0,0,0
2009-03-12,-3.3136385527265944e-05,-,-,0,0,1,10000,0,0,0,0
2009-03-13,-2.5336779394091735e-05,-,-,0,0,1,10000,0,0,0,0
2009-03-16,-2.1677078069659572e-05,-,-,0,0,1,10000,0,0,0,0
2009-03-17,-1.4699690141117827e-05,-,-,0,0,1,10000,0,0,0,0
2009-03-18,-1.2738879904494738e-05,-,-,0,0,1,10000,0,0,0,0
2009-03-19,-1.7002155334511215e-05,-,-,0,0,1,10000,0,0,0,0
2009-03-20,-1.0239088449326417e-05,-,-,0,0,1,10000,0,0,0,0
2009-03-23,-5.862243983156823e-05,-,-,0,0,1,10000,0,0,0,0
2009-03-24,-7.933720898034569e-05,-,-,0,0,1,10000,0,0,0,0
2009-03-25,-8.136281927795252e-05,-,-,0,0,1,10000,0,0,0,0
2009-03-26,-6.772848350400373e-05,-,-,0,0,1,10000,0,0,0,0
2009-03-27,-7.06639152457944e-05,-,-,0,0,1,10000,0,0,0,0
2009-03-30,-5.149437474161189e-05,-,-,0,0,1,10000,0,0,0,0
2009-03-31,-4.9122299063064645e-05,-,-,0,0,1,10000,0,0,0,0
2009-04-01,-2.4842220995857645e-05,-,-,0,0,1,10000,0,0,0,0
2009-04-02,-3.500199848138763e-05,-,-,0,0,1,10000,0,0,0,0
2009-04-03,-3.091417083367354e-05,-,-,0,0,1,10000,0,0,0,0
2009-04-06,-3.151901339926155e-05,-,-,0,0,1,10000,0,0,0,0
2009-04-07,-2.6431217289957232e-05,-,-,0,0,1,10000,0,0,0,0
2009-04-08,-2.435915092058316e-05,-,-,0,0,1,10000,0,0,0,0
2009-04-09,-6.374139637821408e-05,-,-,0,0,1,10000,0,0,0,0
2009-04-14,-4.13165517445524e-05,-,-,0,0,1,10000,0,0,0,0
2009-04-15,-4.140255601114973e-05,-,-,0,0,1,10000,0,0,0,0
2009-04-16,-3.563038263898477e-05,-,-,0,0,1,10000,0,0,0,0
2009-04-17,-3.082326311854011e-05,-,-,0,0,1,10000,0,0,0,0
2009-04-20,-4.489793027895317e-05,-,-,0,0,1,10000,0,0,0,0
2009-04-21,-3.728066373520633e-05,-,-,0,0,1,10000,0,0,0,0
2009-04-22,-3.326564349093175e-05,-,-,0,0,1,10000,0,0,0,0
